winter,Winter_year,RAMSAR,total_shots,Shot_type
2005-2006,2005,0,3700,Lead
2005-2006,2005,1,652,Non-Lead
2006-2007,2006,0,2489,Lead
2006-2007,2006,1,621,Non-Lead
2007-2008,2007,0,2963,Lead
2007-2008,2007,1,699,Non-Lead
2008-2009,2008,0,2841,Lead
2008-2009,2008,1,450,Non-Lead
2009-2010,2009,0,2199,Lead
2009-2010,2009,1,491,Non-Lead
2010-2011,2010,0,1577,Lead
2010-2011,2010,1,250,Non-Lead
2011-2012,2011,0,2444,Lead
2011-2012,2011,1,542,Non-Lead
2012-2013,2012,0,1605,Lead
2012-2013,2012,1,181,Non-Lead
2013-2014,2013,0,2438,Lead
2013-2014,2013,1,442,Non-Lead
2014-2015,2014,0,2037,Lead
2014-2015,2014,1,442,Non-Lead
2015-2016,2015,0,3714,Lead
2015-2016,2015,1,999,Non-Lead
2016-2017,2016,0,3194,Lead
2016-2017,2016,1,731,Non-Lead
2017-2018,2017,0,3525,Lead
2017-2018,2017,1,438,Non-Lead
2018-2019,2018,0,1044,Lead
2018-2019,2018,1,227,Non-Lead